A_c,Access_prop1,Access_prop2,Acres,Addl_mo_fee,Addr,All_inc,Alt_power1,Alt_power2,Apt_num,Area,Area_code,Ass_year,Assignment,Bath_tot,Br,Br_plus,Bsmt1_out,Bsmt2_out,Cable,Cac_inc,Cd,Central_vac,Cert_lvl,Cndsold_xd,Com_coopb,Comel_inc,Community,Community_code,Comp_pts,Cond,Constr1_out,Constr2_out,County,Cross_st,Den_fr,Depth,Disp_addr,Dom,Drive,Dt_sus,Dt_ter,Easement_rest1,Easement_rest2,Easement_rest3,Easement_rest4,Elec,Elevator,Energy_cert,Extras,Farm_agri,Fpl_num,Fractional_ownership,Front_ft,Fuel,Furnished,Gar_spaces,Gar_type,Gas,Green_pis,Handi_equipped,Heat_inc,Heating,Hydro_inc,Input_date,Internet,Irreg,Kit_plus,Laundry,Laundry_lev,Ld,Lease,Lease_term,Legal_desc,Level1,Level10,Level11,Level12,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Link_comment,Link_yn,Lot_fr_inc,Lotsz_code,Lp_dol,Lsc,Lse_terms,Ml_num,Mmap_col,Mmap_page,Mmap_row,Municipality,Municipality_code,Municipality_district,Num_kit,Occ,Oh_date1,Oh_date2,Oh_date3,Oh_date4,Oh_date5,Oh_date6,Oh_dt_stamp,Oh_from1,Oh_from2,Oh_from3,Oh_from4,Oh_from5,Oh_from6,Oh_Link1,Oh_Link2,Oh_Link3,Oh_Link4,Oh_Link5,Oh_Link6,Oh_to1,Oh_to2,Oh_to3,Oh_to4,Oh_to5,Oh_to6,Oh_Type1,Oh_Type2,Oh_Type3,Oh_Type4,Oh_Type5,Oh_Type6,Orig_dol,Oth_struc1_out,Oth_struc2_out,Outof_area,Parcel_id,Park_chgs,Park_spcs,Pay_freq,Perc_dif,Pix_updt,Pool,Portion_lease_comments,Portion_property_lease1_out,Portion_property_lease2_out,Portion_property_lease3_out,Portion_property_lease4_out,Portion_property_lease_srch,Poss_date,Potl,Pr_lsc,Prkg_inc,Prop_feat1_out,Prop_feat2_out,Prop_feat3_out,Prop_feat4_out,Prop_feat5_out,Prop_feat6_out,Prop_mgmt,Pvt_ent,Retirement,Rltr,Rm10_dc1_out,Rm10_dc2_out,Rm10_dc3_out,Rm10_len,Rm10_out,Rm10_wth,Rm11_dc1_out,Rm11_dc2_out,Rm11_dc3_out,Rm11_len,Rm11_out,Rm11_wth,Rm12_dc1_out,Rm12_dc2_out,Rm12_dc3_out,Rm12_len,Rm12_out,Rm12_wth,Rm1_dc1_out,Rm1_dc2_out,Rm1_dc3_out,Rm1_len,Rm1_out,Rm1_wth,Rm2_dc1_out,Rm2_dc2_out,Rm2_dc3_out,Rm2_len,Rm2_out,Rm2_wth,Rm3_dc1_out,Rm3_dc2_out,Rm3_dc3_out,Rm3_len,Rm3_out,Rm3_wth,Rm4_dc1_out,Rm4_dc2_out,Rm4_dc3_out,Rm4_len,Rm4_out,Rm4_wth,Rm5_dc1_out,Rm5_dc2_out,Rm5_dc3_out,Rm5_len,Rm5_out,Rm5_wth,Rm6_dc1_out,Rm6_dc2_out,Rm6_dc3_out,Rm6_len,Rm6_out,Rm6_wth,Rm7_dc1_out,Rm7_dc2_out,Rm7_dc3_out,Rm7_len,Rm7_out,Rm7_wth,Rm8_dc1_out,Rm8_dc2_out,Rm8_dc3_out,Rm8_len,Rm8_out,Rm8_wth,Rm9_dc1_out,Rm9_dc2_out,Rm9_dc3_out,Rm9_len,Rm9_out,Rm9_wth,Rms,Rooms_plus,Rural_svc1,Rural_svc2,Rural_svc3,Rural_svc4,Rural_svc5,S_r,Sewage1,Sewage2,Sewer,Shore_allow,Shoreline1,Shoreline2,Shoreline_exp,Sp_dol,Spec_des1_out,Spec_des2_out,Spec_des3_out,Spec_des4_out,Spec_des5_out,Spec_des6_out,Sqft,St,St_dir,St_num,St_sfx,Status,Style,Taxes,Td,Timestamp_sql,Tot_park_spcs,Tour_url,Tv,Type_own1_out,Type_own_srch,Uffi,Unavail_dt,Util_cable,Util_tel,Vend_pis,Vtour_updt,Water,Water_acc_bldg1,Water_acc_bldg2,Water_body,Water_del_feat1,Water_del_feat2,Water_feat1,Water_feat2,Water_feat3,Water_feat4,Water_feat5,Water_front,Water_inc,Water_type,Waterfront,Wcloset_p1,Wcloset_p2,Wcloset_p3,Wcloset_p4,Wcloset_p5,Wcloset_t1,Wcloset_t1lvl,Wcloset_t2,Wcloset_t2lvl,Wcloset_t3,Wcloset_t3lvl,Wcloset_t4,Wcloset_t4lvl,Wcloset_t5,Wcloset_t5lvl,Wtr_suptyp,Xd,Xdtd,Yr,Yr_built,Zip,Zoning,Ad_text
Central Air,,,,,27 Macpherson Ave,,,,,Toronto,1,,,4,3,1,Finished,Full,,,,,,,1/2 Months Rent +Hst,Y,Annex,01.C02.0860,S,,Brick,,Ontario,Yonge & Macpherson,Y,120,Y,145,Lane,,00:00.0,,,,,,,,Fully outfitted chefs kitchen w/ gas stove & wine fridge. Bsmnt wet bar w/ mini fridge & wine fridge. New back deck & doors w/landscaped yard.Second floor washer+dryer.Tenant responsible for snow removal. Landlord responsible for lawn care.,,N,,19.69,Gas,N,2,Detached,,,,,Forced Air,,35:43.0,Y,,,Ensuite,Upper,00:00.0,Y,1 Year,,,,,,,,,,,,,,,,,Feet,10450,Ter,,C7282544,,,,Toronto,01.C02,Toronto C02,1,Immediate/TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10950,,,,211940164,,2,Monthly,,36:04.0,None,,Entire Property,,,,.AA.,00:00.0,,Pc,Y,Fenced Yard,Library,Park,Public Transit,School,,,Y,,BERKSHIRE HATHAWAY HOMESERVICES TORONTO REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,Lease,,,Sewers,,,,,,Unknown,,,,,,2000-2500,Macpherson,,27,Ave,U,3-Storey,,,38:01.0,2,http://www.houssmax.ca/vtournb/h2527445,,Semi-Detached,.S.,,00:00.0,,,N,,Municipal,,,,,,,,,,,,,,,2,3,4,3,,1,2nd,1,2nd,1,3rd,1,Bsmt,,,,00:00.0,,,,M5R 1W7,,"Location, location, location. Gorgeous red brick Victorian semi on one of the most coveted streets in Toronto w/ a large detached 2 car garage. This home is the perfect blend of classic & modern. Bright & open concept main floor which flows right out to a deck & yard, perfect for entertaining! The second floor features two well appointed bedrooms & 2 bathrooms. Head up to the 3rd floor where you have your very own private primary suite w/ a large terrace, walk in closet and ensuite primary bath. The basement is fully finished with high ceilings, entertainment area w/ custom marble wet bar & wine fridge as well as a full bath & bedroom. Walk down the street to Terroni, Greenhouse Juice or shop at one of the many boutiques along Yonge, the options are endless. Close to the best schools in the city. This home allows for the ultimate Toronto lifestyle!"
Central Air,,,25-49.99,,13682 Warden Ave,,,,,York,9,,,6,6,,Fin W/O,,,,,,,,2%,,Rural Whitchurch-Stouffville,09.05.0010,W,,Brick,,Ontario,Bloomington/Warden,Y,861,Y,152,Circular,,,,,,,Y,,N,,,Y,,1333,Electric,,2,Built-In,N,N,,,Forced Air,,55:31.0,Y,"Irregular, See Geowarehouse",,,,00:00.0,,,"Con 4 Pt Lt 10, Part Of 3",Ground,,,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Lower,,,,Feet,35000000,New,,N7271728,,,,Whitchurch-Stouffville,9.05,Whitchurch-Stouffville,1,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000000,Aux Residences,Paddocks,,,,12,,,55:34.0,Inground,,,,,,,,,,,Golf,Lake/Pond,School,,,,,,,ROYAL LEPAGE GOLDEN RIDGE REALTY,,,,,,,,,,,,,,,,,,,W/O To Deck,,,13.5,Living,4.55,Floor/Ceil Fireplace,,,4.72,Dining,4.57,Country Kitchen,,,4.28,Kitchen,2.53,Cathedral Ceiling,,,4.67,Foyer,3.92,6 Pc Ensuite,,,6.58,Prim Bdrm,4.61,4 Pc Ensuite,,,7.53,Br,7.18,O/Looks Dining,,,6.58,Office,5.47,,,,4.67,Family,3.92,W/O To Patio,,,10.7,Rec,4.62,9,5,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,,Warden,,13682,Ave,A,Backsplit 3,9849.72,,34:00.0,14,,,Farm,.F.,,,A,Y,N,,Well,,,,,,,,,,,,,,None,6,4,2,,,1,,3,,2,,,,,,,00:00.0,,2023,,L4A 7X5,Rural,"Location, Location, Location!  Corner lot located on two main roads with heavy traffic, 25.41 acres beautiful land with one detached 6 bedroom house,  two Outside Buildings With 2 Bedroom Apartments Each. 23 Stall Paddocks,ravine,and pond.  4 MINUTES to Hwy 404,just south of Whitchurch Highlands Public School, great opportunity to investment."
Central Air,,,.50-1.99,,91 Birch Ave,,,,,York,9,,,3,3,,Fin W/O,,,,,,,,2.5%-$380 Marketing Fee,,South Richvale,09.04.0060,S,,Brick,,Ontario,Bathurst Stree/Carrville Road,N,417.53,Y,149,Private,,,,,,,,N,,"""Property Sold As Is Condition""",,Y,,70.4,Gas,,1,Attached,,,,,Forced Air,,50:26.0,Y,,,,Lower,00:00.0,,,Pt Lt 77 Pl 1960 Vaughan As In R680833;,Main,,,,Main,Main,Main,Main,Main,Main,Bsmt,Bsmt,,N,,Feet,2999000,New,,N7276990,,,,Richmond Hill,9.04,Richmond Hill,1,60 Days\TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2999000,,,,,,4,,,50:28.0,Inground,,,,,,,,,,,Cul De Sac,Park,Public Transit,Ravine,School,,,,,CENTURY 21 ATRIA ANITA MUI REALTY INC.,,,,,,,,,,,,,,,,,,,,,,,Kitchen,,W/O To Deck,,,,Breakfast,,Formal Rm,,,,Dining,,Formal Rm,Skylight,,,Living,,W/O To Deck,Closet,,,Prim Bdrm,,Closet,,,,2nd Br,,Closet,,,,3rd Br,,Wet Bar,W/O To Pool,,,Rec,,Fireplace,,,,Rec,,7,2,,,,,,Sale,,,Sewers,,,,,,Unknown,,,,,,,Birch,,91,Ave,A,Bungalow,11554,,33:59.0,5,,,Detached,.D.,,,,,N,,Municipal,,,,,,,,,,,,,,,2,5,3,,,1,Main,1,Main,1,Bsmt,,,,,,00:00.0,,2023,,L4C 6C5,,Incredible Opportunity! **H U G E** 70ft X 417ft Premium Lot On A Desirable Cul De Sac Street In The Prestigious South Richvale. Amazing Opportunity For Builders/Investors Or Personal Use To Build Your Dream Home Among Multi-Million Dollar Homes! This 3 Bedroom Bungalow Offers A Finished Walkout Basement With A Massive Oversized Lot Giving Endless Opportunities And Ample Space To Create Your Perfect Home! Transform This Home Into The Home Of Your Dreams!
,,,2-4.99,,8 Heathervale Blvd,,,,,York,9,,N,0,,,,,,,,,,,2.5% Minus $30 Plus Hst,,Rural King,09.01.0040,E,,,,Ontario,King And Dufferin,,433,Y,68,,,,,,,,Y,,,,,,,205,,,,,N,,,,,,57:56.0,Y,Slightly Irregular 205 X 418 Ft,,,,00:00.0,,,Lot 8 Plan507,,,,,,,,,,,,,,,,Feet,2299000,New,,N8024676,,,,King,9.01,King,,Immed/TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299000,,,,33780028,,,,,59:55.0,,,,,,,,,N,,,Part Cleared,Ravine,,,,,,,,ALAN NEWTON REAL ESTATE LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electr On Road,,,,,Sale,,,Other,,,,,,Unknown,,,,,,,Heathervale,,8,Blvd,A,,3034,,19:50.0,,,,Vacant Land,.V.,,,N,N,N,,Other,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2023,,L7B 1K5,Single Residential,"**** Build Your Dream Home On This Picturesque 2 Acre Lot! ~ Enjoy Beautiful Panoramic Sunset Views~ 200+ FEET OF FRONTAGE in this Exclusive & Secluded Enclave In The Heart Of King City. MINUTES To The Finest Schools Such As The Country Day School, St. Andrews College, Villanova & Seneca College. In The Heart of Picturesque King City + All Richmond Hill Amenities. Easy Access To Major Routes For Quick & Easy Access To Downtown & Airport. Directly off of King Rd!"
Central Air,,,.50-1.99,,4 Concession Rd 13  W,,,,,Simcoe,4,2023,N,2,3,,Half,,,,00:00.0,,,,2.5% + Hst,,Rural Tiny,04.04.0020,N,,Shingle,Stucco/Plaster,Ontario,Cr 6 & Concession 13,Y,150,Y,148,Available,,,,,,,Y,N,N,,,N,N,100,Oil,,1,Attached,N,N,N,,Forced Air,,31:50.0,Y,,,,Main,00:00.0,,,"PT LT 14 CON 13 TINY PT 1 & 2, 51R5428;TINY",Main,,,,Main,Main,Main,Main,Main,Main,,,,N,,Feet,799000,Sld,,S7275648,,,,Tiny,4.04,Tiny,1,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824999,Workshop,,,584080032,,15,,94,31:58.0,None,,,,,,,00:00.0,N,Sc,,,,,,,,,,N,CENTURY 21 B.J. ROTH REALTY LTD.,,,,,,,,,,,,,,,,,,,Combined W/Family,,,35,Kitchen,16,,,,14,Br,15,,,,10,Bathroom,9,B/I Closet,,,10,Laundry,7,,,,13,2nd Br,10,,,,10,3rd Br,10,,,,10,Bathroom,4,,,,,,,,,,,,,2,,,,,,,Sale,,,Septic,,,,,750000,Unknown,,,,,,1500-2000,Concession Rd 13,W,4,,U,Bungalow,2277.51,00:00.0,37:57.0,15,https://youtu.be/08GRdFblndU?si=Ov74-v3abfu89qv7,286000,Detached,.D.,,00:00.0,Y,Y,N,,Well,,,,,,,,,,,,,,,5,4,,,,1,Main,1,Main,,,,,,,,00:00.0,,2023,31-50,L0L 2J0,RR,"Home is where the Heart is.... This fully renovated home was designed with love! Easy open concept flow from room to room, large hallways that are wider than the average making the home feel incredibly roomy. The kitchen has a large island and still leaving plenty of space (Soapstone Countertops) All Appliances New 2022 (Fridge, Stove, Dishwasher, Microwave, Washer/ Dryer). New wiring & fuse panel (2022), AC (2023), Water Filtration system (2022), Sump Pump (2023). There is a single car garage attached to the home, and Bonus there is a Large (30x21 ft) Detached Shop. Primary bedroom is massive featuring a large Ensuite, walk in closet with Laundry."
Central Air,,,< .50,,2337 Charles Cornwall Rd,,,,,Halton,6,,,5,4,,Full,Unfinished,,,,,,,Half Months Rent +Hst,,Glen Abbey,06.04.0040,W,,Stucco/Plaster,,Ontario,Bronte>saw Whet>charles Cornwa,Y,92,Y,152,Pvt Double,,,,,,,,N,,,,Y,,66,Gas,N,2,Attached,,,N,,Forced Air,,27:28.0,Y,,,Ensuite,Upper,00:00.0,Y,1 Year,,Main,Main,,,Main,Main,Main,2nd,2nd,2nd,2nd,2nd,,N,,Feet,8500,Exp,,W7271180,,,,Oakville,6.04,Oakville,1,Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500,,,,250690522,,2,Monthly,,27:56.0,None,,Entire Property,,,,.AA.,,N,New,Y,Golf,Grnbelt/Conserv,Lake/Pond,Park,Public Transit,School,,Y,N,REAL BROKER ONTARIO LTD.,Open Concept,Combined W/Dining,,3.15,Living,3.15,,,,,,,,,,,,,O/Looks Park,,,6.71,Family,4.32,Separate Rm,,,3.15,Library,3.2,Combined W/Living,Open Concept,,5.23,Dining,4.57,Eat-In Kitchen,W/O To Deck,,3.96,Kitchen,3.96,W/I Closet,5 Pc Ensuite,,5.28,Prim Bdrm,4.7,Closet,3 Pc Ensuite,,4.57,2nd Br,3.66,Closet,3 Pc Ensuite,,5.23,3rd Br,3.17,Closet,4 Pc Ensuite,,3.96,4th Br,3.66,Laundry Sink,,,,Laundry,,9,,,,,,,Lease,,,Sewers,,,,,,Unknown,,,,,,3500-5000,Charles Cornwall,,2337,Rd,U,2-Storey,,,16:16.0,4,http://tours.therealtorstoolbox.com/cp/2337-charles-cornwall-avenue-oakville/,,Detached,.D.,,00:00.0,,,N,,Municipal,,,,,,,,,,,,,,,5,2,3,4,3,1,2nd,1,Main,1,2nd,1,2nd,1,2nd,,00:00.0,,,0-5,L6M 4G3,,"This is a wonderful home - spacious, luxurious, well-designed and nicely situated in a new master-planned area of south west Glen Abbey. This home backs on to lovely green space with lots of plant varieties and a pond that attracts herons and other wildlife, and sides on to a path (not close to neighbour). There's very easy access to major highways and all the wonderful amenities of Oakville. Inside, the Downsview kitchen and great room are the heart of the home and don't disappoint - you'll love spending time here with family and friends. The main floor also comprises the living room and a spacious dining area (with a butler's and walk-in pantry) and secluded home office. Upstairs a thoughtful plan gives each of the bright bedrooms (each with ensuite) privacy. The large basement has 9 ft. ceilings and very large open areas. Don't miss your chance to live at this superb location in this beautiful home."
,,,.50-1.99,,3246 Escarpment Sdrd,,,,,Peel,5,2022,,0,,,,,,,,,,,2.50%,,Rural Caledon,05.01.0050,N,,,,Ontario,Escarpment Sdrd-Hurontario,,0,Y,152,Private,,,,,,,Y,,,"create a home for themselves! With the beauty of the escarpment at your feet & surrounded by some of Caledon's most prestigious estates, this is an opportunity to create something truly special!",,,,1.37,,,,,N,,,,,,57:39.0,Y,Lot Size As Per Mpac,,,,00:00.0,,,"PT LT 11 CON 1 EHS CALEDON PT 1, 43R16860 ; CALEDON",,,,,,,,,,,,,,,,Acres,995000,New,,W7271746,,,,Caledon,5.01,Caledon,,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995000,,,,,,4,,,16:39.0,,,,,,,,,,,,Golf,Rolling,School Bus Route,,,,,,,RE/MAX IN THE HILLS INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,,Escarpment,,3246,Sdrd,A,,3820.47,,34:00.0,4,http://listing.fdimedia.com/escarpmentsideroadlot/?mls,,Vacant Land,.V.,,,N,A,N,,Well,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,Dug Well,00:00.0,,2023,,L7K 1E6,,"A chance to build your dream home! Across the road from one of Canada's most exclusive golf courses, The Devils Pulpit & its sister course The Paintbrush just down the way.  Explore the mystery of Caledon's ""magnetic hill"" around the corner or take in the Mars-like Badlands as you cruise to local craft breweries or cideries! This private 1.37 acre lot has been a recreational getaway for years, a quaint cabin tucked away in the hills of Caledon, but close to amenities: hike the nearby Bruce Trail which connects to The Caledon Rail Trail, ski at The Caledon Ski Club, the public school is minutes away & the property is in the boundaries of Mayfield Secondary School for the arts. All of this combined makes this the perfect spot for someone to build their dream country retreat! In 2006 plans were approved with the NEC to build a 2 storey garage near the road side to accompany a renovation of the cabin. Now, there is an opportunity for someone to re-imagine this spectacular setting & create"
Central Air,,,.50-1.99,,460-474 Browns Line,,,,,Toronto,1,,N,5,5,,Finished,,,,,,,,2% + Hst,,Alderwood,01.W06.0200,W,,Brick,Stucco/Plaster,Ontario,Browns Line/North Of Horner Av,N,127,Y,150,Pvt Double,,,,,,,Y,N,,,,Y,N,190,Gas,,0,None,Y,,,,Forced Air,,06:40.0,Y,134.33 Ft. South Rear,,,Upper,00:00.0,,,"Plan 2357, Lots 7-9 & Pl 2357, Part Lt 6",,,,,,,,,,,,,,N,,Feet,6999000,Pc,,W7278590,,,,Toronto,01.W06,Toronto W06,3,90 Days/TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7199000,,,,75730184,,11,,,07:07.0,None,,,,,,,,N,New,,Fenced Yard,Park,Public Transit,School Bus Route,,,,,,GOWEST REALTY LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,,,,,,Sale,,,Sewers,,,,,,Unknown,,,,,,,Browns,,460-474,Line,A,2-Storey,9036.76,,33:50.0,11,https://tours.darexstudio.com/1810195?idx=1,,Detached,.D.,,,A,A,N,,Municipal,,,,,,,,,,,,,,,4,2,4,,,2,2nd,2,Main,1,Bsmt,,,,,,00:00.0,,2023,,M8W 3T9,,"Attention Investors & Developers! Prime Development Site In Alderwood! Perfect Location For Mid-Density Housing! 190 Feet Frontage On Brown's Line With Total Of 17,780 Sq. Ft. Of Land! Close To Sherway Gardens, Hwys Qew And 427. Existing Brick Bungalow And Huge 2 Storey Building With High Full Basement, The 2nd Level Has A Renovated Residential 3 Br. Unit! Plenty Of Parking."
,,,.50-1.99,,6 Robert St,,,,,Kawartha Lakes,11,,N,0,,,,,,,,,,,2.5,,Bethany,11.01.0210,W,,,,Ontario,Ski Hill Rd & Hwy 7A,,264,Y,295,,,,,,,,A,,,,,,,198,,,,None,A,,,,,,59:04.0,Y,,,,,00:00.0,,,LT 44-47 PL 2 MANVERS CITY OF KAWARTHA LAKES,,,,,,,,,,,,,,,,Feet,269000,Pc,,X6151736,,,,Kawartha Lakes,11.01,Kawartha Lakes,,IMMEDIATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,,,,632660345,,,,,59:08.0,,,,,,,,00:00.0,N,New,,Place Of Worship,School Bus Route,,,,,,,,EXIT REALTY LIFTLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Robert,,6,St,A,,533.75,,00:40.0,,,,Vacant Land,.V.,,,N,N,N,,None,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2023,,L0A 1A0,RES,"Secluded Private Acreage accessible by unserviced road. Property offers 1.2 acres of open meadow serenity & wildlife galore. Hydro to lot line will be installed & buried, so there will be no hydro poles to obstruct your views."
,,,< .50,,Lot 8 Crego St,,,,,Kawartha Lakes,11,2022,,0,,,,,,,,,,,2.50%,,Kinmount,11.01.0230,E,,,,Ontario,Monck/Crego,,215,Y,252,,,,,,,,N,,N,,,,,65,,,,,N,N,,,,,55:52.0,Y,,,,,00:00.0,,,"Lot 8 E/S Wilson Ave, Pl 105;",,,,,,,,,,,,,,,,Feet,79000,Ext,,X6695494,,,,Kawartha Lakes,11.01,Kawartha Lakes,,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000,,,,,,,,,56:03.0,,,,,,,,,,Pc,,River/Stream,,,,,,,,,BIRDHOUSE REALTY INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Crego,,Lot 8,St,A,,174.48,,46:50.0,,https://youtu.be/rOQApibaICI,,Vacant Land,.V.,,,N,N,N,,None,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,58:54.0,2022,,K0M 2A0,RR2,"Open and mostly cleared vacant lot 65 x 215 conveniently located on a quiet municipally maintained road. Roughly three quarters of the land has been cleared with a new driveway with a culvert installed. Located off Highway 121, this lot is a short distance to the Burnt River boat launch, Haliburton County Rail Trail, Victoria Rail trail and Ganaraska Hiking Trail. Survey (2022) is available. *Seller is open to vendor financing*"
,,,< .50,,Lot 9 Crego St,,,,,Kawartha Lakes,11,,,0,,,,,,,,,,,2.50%,,Kinmount,11.01.0230,E,,,,Ontario,Monck/Crego,,216,Y,252,,,,,,,,N,,N,,,,,65,,,,,N,N,,,,,00:52.0,Y,,,,,00:00.0,,,"Lot 9 E/S Wilson Av, Pl 105;",,,,,,,,,,,,,,,,Feet,79000,Ext,,X6695524,,,,Kawartha Lakes,11.01,Kawartha Lakes,,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95000,,,,,,,,,01:03.0,,,,,,,,,,Pc,,River/Stream,,,,,,,,,BIRDHOUSE REALTY INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Crego,,Lot 9,St,A,,174.48,,46:50.0,,https://youtu.be/TCVtuKxR9l8,,Vacant Land,.V.,,,N,N,N,,None,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,55:51.0,2022,,K0M 2A0,RR2,"Open and mostly cleared vacant lot 65 x 216 conveniently located on a quiet municipally maintained road. Roughly three quarters of the land has been cleared with a new driveway with a culvert installed. Located off Highway 121, this lot is a short distance to the Burnt River boat launch, Haliburton County Rail Trail, Victoria Rail trail and Ganaraska Hiking Trail. Survey (2022) is available. *Seller is open to vendor financing*"
,,,5-9.99,,** Mcnevan Dr,,,,,Kawartha Lakes,11,,,0,,,,,,,,,,,2.50%,,Rural Fenelon,11.01.0150,S,,,,Ontario,Wrenhaven Rd. & Mcnevan Dr.,,0,Y,253,,,,,,,,A,,,,,,,9.88,,,,,N,,,,,,24:50.0,Y,Irregular,,,,00:00.0,,,Pt Lot 30 Con 9 Fenelon As in A11223,,,,,,,,,,,,,,,,Acres,550000,New,,X6696180,,,,Kawartha Lakes,11.01,Kawartha Lakes,,Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000,,,,631580183,,,,,24:52.0,,,,,,,,,,,,,,,,,,,,,SUMMERHILL PRESTIGE REAL ESTATE LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Mcnevan,,**,Dr,A,,1238.29,,17:34.0,,,,Vacant Land,.V.,,,A,A,N,,None,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2023,,K0M 1N0,A1,"9.877 Acres Of A1 Zoned Property For Sale. Two Road Frontages Available. Property is located at the North West corner of Wrenhaven Road and McNevan Drive.  This clear, generous sized property, 9.877 acres is surrounded by Trees and is located near beautiful Cameron Lake in the lovely Cottage Community of Kawartha Lakes, approx. 90 minutes to GTA/Toronto."
,,,.50-1.99,,226 High St,,,,,Muskoka,26,,,0,,,,,,,,,,,2.5% + Hst,,,,N,,,,Ontario,Hwy 69 To Mactier Cut Off,,0,Y,848,,,00:00.0,,,,,N,,,HWY 69 to Mactier cut off. District Rd #11 follow approximately 1km. Road becomes High Street.  **INTERBOARD LISTING:  THE LAKELANDS R. E. ASSOC**,,,,0.58,,,,,N,,,,,,28:00.0,Y,,,,,00:00.0,,,PT LT 2 CON 6 FREEMAN PT 2 35R20461: GEORGIAN BAY,,,,,,,,,,,,,,,,Acres,130000,Ter,,X6699764,,,,Georgian Bay,26.01,Georgian Bay,,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,,,,480060883,,,,,28:51.0,,,,,,,,,,Ext,,School,,,,,,,,,"RE/MAX By The Bay, Brokerage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Accessibility,,,,,,,High,,226,St,U,,621,,46:49.0,,,,Vacant Land,.V.,,00:00.0,N,N,N,,Other,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,08:15.0,2022,,P0C 1H0,R3-3,"Enjoy rural living with some urban amenities. This 0.58 Acre, treed lot is located in Muskoka cottage country in the quaint town of Mactier. With easy access from Highway 400N, 226 High Street has many conveniences close by, such as, groceries, the LCBO, a European bistro, Mactier Memorial Arena, local public school & a public beach area (to name a few!). The property is un-serviced with municipal sewer and water available at the lot line. This is your opportunity to be small town proud! Don't miss out. HST is in addition to the purchase price. All development charges are the buyers' responsibility upon application for building permits. Connection fees and any associated costs for Municipal water and Sewer hook-up are the Buyers responsibility."
